iter	Passed	Remaining
0	108	108235
1	123	61398
2	153	51124
3	190	47382
4	228	45524
5	246	40797
6	299	42482
7	326	40516
8	369	40671
9	410	40645
10	439	39514
11	495	40772
12	520	39495
13	563	39704
14	591	38816
15	628	38655
16	654	37854
17	736	40200
18	764	39490
19	812	39799
20	833	38850
21	885	39359
22	911	38738
23	944	38414
24	972	37912
25	1040	38977
26	1069	38528
27	1112	38621
28	1141	38232
29	1191	38538
30	1213	37921
31	1252	37881
32	1280	37533
33	1322	37573
34	1374	37895
35	1397	37410
36	1424	37085
37	1471	37249
38	1485	36593
39	1537	36892
40	1558	36453
41	1580	36058
42	1610	35831
43	1630	35427
44	1695	35979
45	1724	35756
46	1771	35919
47	1793	35561
48	1816	35262
49	1866	35464
50	1886	35098
51	1910	34826
52	1933	34556
53	1955	34263
54	1984	34093
55	2003	33778
56	2049	33909
57	2069	33605
58	2110	33654
59	2134	33439
60	2164	33318
61	2199	33273
62	2224	33087
63	2254	32970
64	2285	32881
65	2339	33111
66	2355	32799
67	2413	33079
68	2438	32905
69	2511	33367
70	2538	33209
71	2591	33399
72	2619	33267
73	2667	33380
74	2684	33113
75	2720	33078
76	2742	32877
77	2780	32867
78	2809	32751
79	2840	32665
80	2897	32875
81	2916	32647
82	2972	32842
83	2995	32660
84	3039	32716
85	3057	32494
86	3089	32422
87	3118	32314
88	3140	32148
89	3171	32071
90	3186	31831
91	3221	31795
92	3246	31661
93	3279	31606
94	3313	31567
95	3345	31501
96	3379	31460
97	3422	31497
98	3462	31511
99	3497	31474
100	3555	31648
101	3576	31485
102	3638	31688
103	3666	31587
104	3723	31742
105	3753	31653
106	3817	31860
107	3841	31727
108	3866	31602
109	3897	31531
110	3921	31406
111	3952	31339
112	3979	31233
113	4047	31460
114	4073	31344
115	4114	31355
116	4186	31594
117	4213	31492
118	4278	31677
119	4303	31556
120	4358	31661
121	4382	31542
122	4412	31464
123	4444	31396
124	4507	31554
125	4532	31439
126	4554	31304
127	4590	31273
128	4607	31108
129	4664	31218
130	4686	31086
131	4736	31149
132	4761	31037
133	4796	30996
134	4821	30891
135	4853	30830
136	4872	30695
137	4940	30862
138	4958	30712
139	4985	30624
140	5014	30550
141	5034	30418
142	5091	30515
143	5124	30460
144	5160	30426
145	5201	30422
146	5242	30422
147	5282	30408
148	5346	30535
149	5370	30433
150	5422	30489
151	5449	30402
152	5482	30351
153	5516	30305
154	5543	30221
155	5570	30139
156	5597	30057
157	5626	29985
158	5654	29906
159	5699	29922
160	5740	29916
161	5775	29876
162	5796	29766
163	5808	29607
164	5840	29556
165	5863	29458
166	5892	29392
167	5910	29270
168	5940	29209
169	5968	29140
170	5983	29005
171	6005	28908
172	6031	28830
173	6087	28898
174	6138	28940
175	6157	28829
176	6198	28821
177	6223	28741
178	6246	28650
179	6306	28731
180	6331	28647
181	6383	28689
182	6404	28594
183	6442	28572
184	6467	28493
185	6514	28511
186	6540	28435
187	6569	28376
188	6599	28319
189	6631	28269
190	6675	28274
191	6695	28176
192	6718	28093
193	6751	28051
194	6772	27956
195	6794	27870
196	6921	28213
197	6948	28145
198	7054	28394
199	7093	28373
200	7159	28460
201	7204	28461
202	7260	28505
203	7287	28433
204	7331	28431
205	7344	28308
206	7380	28272
207	7408	28210
208	7483	28322
209	7518	28283
210	7555	28252
211	7602	28259
212	7639	28226
213	7657	28125
214	7716	28175
215	7747	28120
216	7814	28195
217	7840	28123
218	7933	28291
219	7966	28246
220	8002	28208
221	8029	28140
222	8067	28110
223	8088	28020
224	8128	27998
225	8155	27929
226	8228	28021
227	8253	27946
228	8305	27962
229	8343	27932
230	8413	28007
231	8434	27922
232	8487	27940
233	8511	27861
234	8553	27844
235	8569	27742
236	8589	27653
237	8626	27617
